CIC_AEM_VERS = 2.0
CREATION_DATE  = 2023-03-26T22:43:56.346
ORIGINATOR     = TOLOSAT

META_START

COMMENT days (MJD), sec (UTC), q0: real part, q1, q2, q3

OBJECT_NAME = SAT2
OBJECT_ID = SAT2

REF_FRAME_A = EME2000
REF_FRAME_B = SC_BODY_1
ATTITUDE_DIR = A2B
TIME_SYSTEM = TAI
START_TIME = 2024-01-02T11:59:55.000
STOP_TIME = 2024-01-03T11:59:55.000
ATTITUDE_TYPE = QUATERNION
QUATERNION_TYPE = LAST

META_STOP
60311 43232.0  0.063410  0.011985 -0.000000 0.997916
60311 46612.0 -0.353275  0.887721  0.000000 0.295210
60311 46622.0 -0.348785  0.887775  0.000000 0.300339
60311 46632.0 -0.344409  0.887735  0.000000 0.305464
60311 46642.0 -0.340142  0.887604  0.000000 0.310584
60311 46652.0 -0.335978  0.887385  0.000000 0.315699
60311 46662.0 -0.331913  0.887083  0.000000 0.320809
60311 46672.0 -0.327941  0.886700  0.000000 0.325912
60311 46682.0 -0.324058  0.886239  0.000000 0.331009
60311 46692.0 -0.320261  0.885703  0.000000 0.336100
60311 46702.0 -0.316545  0.885095  0.000000 0.341183
60311 46712.0 -0.312907  0.884417  0.000000 0.346260
60311 46722.0 -0.309343  0.883671  0.000000 0.351329
60311 46732.0 -0.305850  0.882860  0.000000 0.356390
60311 46742.0 -0.302425  0.881985  0.000000 0.361443
60311 46752.0 -0.299064  0.881049  0.000000 0.366488
60311 46762.0 -0.295766  0.880052  0.000000 0.371524
60311 46772.0 -0.292528  0.878997  0.000000 0.376551
60311 46782.0 -0.289347  0.877886  0.000000 0.381570
60311 46792.0 -0.286220  0.876718  0.000000 0.386579
60311 46802.0 -0.283146  0.875497  0.000000 0.391578
60311 46812.0 -0.280123  0.874223  0.000000 0.396568
60311 46822.0 -0.277148  0.872897  0.000000 0.401547
60311 46832.0 -0.274219  0.871521  0.000000 0.406517
60311 46842.0 -0.271335  0.870095  0.000000 0.411476
60311 46852.0 -0.268494  0.868621  0.000000 0.416424
60311 46862.0 -0.265695  0.867099  0.000000 0.421361
60311 46872.0 -0.262935  0.865531  0.000000 0.426287
60311 46882.0 -0.260214  0.863918  0.000000 0.431202
60311 46892.0 -0.257529  0.862259  0.000000 0.436105
60311 46902.0 -0.254880  0.860557  0.000000 0.440996
60311 46912.0 -0.252265  0.858811  0.000000 0.445876
60311 46922.0 -0.249683  0.857023  0.000000 0.450743
60311 46932.0 -0.247133  0.855193  0.000000 0.455599
60311 46942.0 -0.244613  0.853322  0.000000 0.460441
60311 46952.0 -0.242124  0.851410  0.000000 0.465271
60311 46962.0 -0.239662  0.849458  0.000000 0.470088
60311 46972.0 -0.237229  0.847467  0.000000 0.474892
60311 46982.0 -0.234822  0.845437  0.000000 0.479682
60311 46992.0 -0.232441  0.843369  0.000000 0.484459
60311 47002.0 -0.230084  0.841262  0.000000 0.489223
60311 47012.0 -0.227752  0.839119  0.000000 0.493973
60311 47022.0 -0.225443  0.836938  0.000000 0.498708
60311 47032.0 -0.223157  0.834721  0.000000 0.503430
60311 47042.0 -0.220893  0.832468  0.000000 0.508137
60311 47052.0 -0.218649  0.830180  0.000000 0.512830
60311 47062.0 -0.216426  0.827856  0.000000 0.517508
60311 47072.0 -0.214223  0.825497  0.000000 0.522171
60311 47082.0 -0.212039  0.823104  0.000000 0.526819
60311 47092.0 -0.209874  0.820677  0.000000 0.531452
60311 47102.0 -0.207727  0.818217  0.000000 0.536070
60311 47112.0 -0.205597  0.815723  0.000000 0.540672
60311 47122.0 -0.203484  0.813196  0.000000 0.545259
60311 47132.0 -0.201388  0.810636  0.000000 0.549830
60311 47142.0 -0.199308  0.808044  0.000000 0.554384
60311 47152.0 -0.197243  0.805419  0.000000 0.558923
60311 47162.0 -0.195194  0.802763  0.000000 0.563445
60311 47172.0 -0.193159  0.800076  0.000000 0.567951
60311 47182.0 -0.191138  0.797357  0.000000 0.572440
60311 47192.0 -0.189131  0.794607  0.000000 0.576913
60311 47202.0 -0.187138  0.791827  0.000000 0.581369
60311 47212.0 -0.185158  0.789016  0.000000 0.585807
60311 47222.0 -0.183191  0.786175  0.000000 0.590229
60311 47232.0 -0.181236  0.783304  0.000000 0.594633
60311 47242.0 -0.179293  0.780404  0.000000 0.599019
60311 47252.0 -0.177362  0.777474  0.000000 0.603388
60311 47262.0 -0.175442  0.774515  0.000000 0.607739
60311 47272.0 -0.173533  0.771527  0.000000 0.612072
60311 47282.0 -0.171636  0.768510  0.000000 0.616387
60311 47292.0 -0.169749  0.765465  0.000000 0.620684
60311 47302.0 -0.167872  0.762391  0.000000 0.624962
60311 47312.0 -0.166006  0.759290  0.000000 0.629222
60311 47322.0 -0.164149  0.756161  0.000000 0.633464
60311 47332.0 -0.162302  0.753004  0.000000 0.637686
60311 47342.0 -0.160465  0.749819  0.000000 0.641890
60311 47352.0 -0.158636  0.746607  0.000000 0.646074
60311 47362.0 -0.156817  0.743369  0.000000 0.650240
60311 47372.0 -0.155006  0.740103  0.000000 0.654385
60311 47382.0 -0.153204  0.736811  0.000000 0.658512
60311 47392.0 -0.151411  0.733492  0.000000 0.662619
